23-May-21 20:54:33,419|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985
23-May-21 20:54:33,425|INFO |L.init             |main                       |Server launched on Java Virtual Machine: Oracle Corporation, OpenJDK 64-Bit Server VM, 16.0.1+9-24, 16.0.1+9-24 on Windows 10
23-May-21 20:54:33,446|INFO |L.license          |main                       |License correctly bound with the following parameter(s):
23-May-21 20:54:33,446|INFO |L.license          |main                       |        Product                          : LS-SERVER
23-May-21 20:54:33,447|INFO |L.license          |main                       |        Edition                          : ENTERPRISE
23-May-21 20:54:33,448|INFO |L.license          |main                       |        License Type                     : DEMO
23-May-21 20:54:33,449|INFO |L.license          |main                       |        Contract Id                      : DEMO
23-May-21 20:54:33,452|INFO |L.init             |main                       |        Mobile Push Notifications        : enabled
23-May-21 20:54:33,452|INFO |L.init             |main                       |        Max Message Rate (Downstream)    : unlimited
23-May-21 20:54:33,453|INFO |L.init             |main                       |        JMX Management API               : enabled
23-May-21 20:54:33,453|INFO |L.init             |main                       |        Bandwidth Control                : enabled
23-May-21 20:54:33,454|INFO |L.init             |main                       |        TLS/SSL Support                  : enabled
23-May-21 20:54:33,455|INFO |L.init             |main                       |        Web Client API                   : enabled (all versions)
23-May-21 20:54:33,455|INFO |L.init             |main                       |        Android Client API               : enabled (all versions)
23-May-21 20:54:33,456|INFO |L.init             |main                       |        iOS Client API                   : enabled (all versions)
23-May-21 20:54:33,456|INFO |L.init             |main                       |        .NET Standard Client API         : enabled (all versions)
23-May-21 20:54:33,457|INFO |L.init             |main                       |        BlackBerry Client API            : enabled (all versions)
23-May-21 20:54:33,458|INFO |L.init             |main                       |        Flash Client API                 : enabled (all versions)
23-May-21 20:54:33,459|INFO |L.init             |main                       |        Flex and AIR Client API          : enabled (all versions)
23-May-21 20:54:33,459|INFO |L.init             |main                       |        Java ME Client API               : enabled (all versions)
23-May-21 20:54:33,460|INFO |L.init             |main                       |        Java SE Client API               : enabled (all versions)
23-May-21 20:54:33,461|INFO |L.init             |main                       |        Node.js Client API               : enabled (all versions)
23-May-21 20:54:33,462|INFO |L.init             |main                       |        macOS Client API                 : enabled (all versions)
23-May-21 20:54:33,463|INFO |L.init             |main                       |        Silverlight Client API           : enabled (all versions)
23-May-21 20:54:33,465|INFO |L.init             |main                       |        tvOS Cllient API                 : enabled (all versions)
23-May-21 20:54:33,467|INFO |L.init             |main                       |        watchOS Client API               : enabled (all versions)
23-May-21 20:54:33,468|INFO |L.init             |main                       |        Generic Clients (TLCP Protocol)  : enabled (all versions)
23-May-21 20:54:33,469|WARN |L.init             |main                       |Lightstreamer Server is running with a Demo license, which has a limit of 20 concurrent users and can be used for evaluation, development, and testing, but not for production. If you need to evaluate Lightstreamer Server without this user limit, or need any information on the other license types, please contact info@lightstreamer.com
23-May-21 20:54:33,642|INFO |L.init             |main                       |Number of detected cores: 4
23-May-21 20:54:33,643|INFO |L.init             |main                       |Lightstreamer Server starting in ENTERPRISE edition.
23-May-21 20:54:34,090|INFO |L.init             |main                       |Started RMI server for JMX on port 8888.
23-May-21 20:54:34,103|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) started...
23-May-21 20:54:34,215|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) successful.
23-May-21 20:54:34,220|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 started...
23-May-21 20:54:34,255|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 successful.
23-May-21 20:54:34,339|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) started...
23-May-21 20:54:34,345|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) successful.
23-May-21 20:54:34,384|INFO |L.init             |main                       |SERVER pool size set by default at 1000.
23-May-21 20:54:34,384|INFO |L.init             |main                       |ACCEPT pool size set by default at 4.
23-May-21 20:54:34,551|INFO |L.init             |main                       |Queue limit checks for SERVER pool added to checks for ACCEPT pool.
23-May-21 20:54:35,382|INFO |L.init             |Init for WELCOME           |Loading Metadata Adapter for Adapter Set WELCOME
23-May-21 20:54:37,776|INFO |L.init             |Init for WELCOME           |Finished loading Metadata Adapter for Adapter Set WELCOME
23-May-21 20:54:37,779|INFO |L.init             |Init for WELCOME.STOCKS    |Loading Data Adapter WELCOME.STOCKS
23-May-21 20:54:37,779|INFO |L.init             |Init for WELCOME.ROOMBALL  |Loading Data Adapter WELCOME.ROOMBALL
23-May-21 20:54:37,779|INFO |L.init             |Init for WELCOME.CHAT      |Loading Data Adapter WELCOME.CHAT
23-May-21 20:54:37,779|INFO |L.init             |Init for WELCOME.TELEMETRY |Loading Data Adapter WELCOME.TELEMETRY
23-May-21 20:54:37,792|INFO |L.init             |Init for WELCOME.TELEMETRY |Finished loading Data Adapter WELCOME.TELEMETRY
23-May-21 20:54:37,794|INFO |L.init             |Init for WELCOME.CHAT      |Finished loading Data Adapter WELCOME.CHAT
23-May-21 20:54:37,795|INFO |L.init             |Init for WELCOME.ROOMBALL  |Finished loading Data Adapter WELCOME.ROOMBALL
23-May-21 20:54:37,807|INFO |L.init             |Init for WELCOME.STOCKS    |Finished loading Data Adapter WELCOME.STOCKS
23-May-21 20:54:37,842|INFO |L.init             |main                       |Events pool size set by default at 4.
23-May-21 20:54:37,846|INFO |L.init             |main                       |Snapshot pool size set by default at 10.
23-May-21 20:54:37,922|WARN |L.init             |main                       |THE MONITORING DASHBOARD IS NOT PASSWORD PROTECTED. Remember to protect it in production! For more details, see PRODUCTION_SECURITY_NOTES.TXT.
23-May-21 20:54:37,961|INFO |L.init             |main                       |Pump pool size set by default at 4.
23-May-21 20:54:38,000|INFO |L.init             |main                       |Selector pool size set by default at 4.
23-May-21 20:54:38,000|INFO |L.init             |main                       |Selector maximum load set by default at 0.
23-May-21 20:54:38,229|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 1.
23-May-21 20:54:38,233|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 2.
23-May-21 20:54:38,237|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 3.
23-May-21 20:54:38,241|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 4.
23-May-21 20:54:38,343|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 1.
23-May-21 20:54:38,346|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 2.
23-May-21 20:54:38,349|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 3.
23-May-21 20:54:38,352|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 4.
23-May-21 20:54:38,426|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 1.
23-May-21 20:54:38,429|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 2.
23-May-21 20:54:38,433|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 3.
23-May-21 20:54:38,436|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 4.
23-May-21 20:54:38,439|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 1.
23-May-21 20:54:38,441|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 2.
23-May-21 20:54:38,444|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 3.
23-May-21 20:54:38,448|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 4.
23-May-21 20:54:38,454|INFO |L.init             |main                       |Lightstreamer Server initialized.
23-May-21 20:54:38,454|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985 starting...
23-May-21 20:54:38,590|INFO |L.init             |r Lightstreamer HTTP Server|Session creation on socket Lightstreamer HTTP Server bound to any queue limits for SERVER pool.
23-May-21 20:54:38,591|INFO |L.init             |main                       |Server "Lightstreamer HTTP Server" listening to *:8080 ...
23-May-21 20:54:39,735|INFO |streamerMonitorText|Timer-1                    |Total threads = 77, Total heap = 134217728 (free = 91531024), Sessions = 0 (max = 0, refused = 0), New sessions = [+0, -0], Connections = 0 (max = 0), New connections = [+0, -0], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 0 (for 0 subscriptions), Inbound throughput = 0 updates/s (pre-filtered = 0), Outbound throughput = 0 updates/s (0 kbit/s, max = 0), Lost updates = 0 (total = 0), Total bytes sent = 0, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0), Total messages handled = 0, Extra sleep = 0, Notify delay = 0
23-May-21 20:55:00,145|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=4801&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_adapter_set=WELCOME& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58417
23-May-21 20:55:00,346|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=9901&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_requested_max_bandwidth=100&LS_adapter_set=MONITOR&LS_user=z&LS_password=[...]& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58422
23-May-21 20:55:00,522|INFO |L.requests         |SERVER POOLED THREAD 6     |Starting new session: S98c5eaa3b048ca32Mef1T5500424 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58417
23-May-21 20:55:00,522|INFO |L.requests         |SERVER POOLED THREAD 10    |Starting new session: Sd216a895aba51381Mef1T5500434 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58422
23-May-21 20:55:00,842|INFO |L.requests         |SERVER POOLED THREAD 6     |Serving request: bind_session -> LS_session=S98c5eaa3b048ca32Mef1T5500424&LS_phase=4803&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,844|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: bind_session -> LS_session=Sd216a895aba51381Mef1T5500434&LS_phase=9903&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:00,845|INFO |L.requests         |SERVER POOLED THREAD 6     |Attaching session: S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,847|INFO |L.requests         |SERVER POOLED THREAD 10    |Attaching session: Sd216a895aba51381Mef1T5500434 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58428
23-May-21 20:55:00,909|INFO |L.requests         |SERVER POOLED THREAD 6     |Serving request: control -> LS_mode=MERGE&LS_group=item1%20item2%20item3%20item4%20item5%20item6&LS_schema=stock_name%20last_price%20time%20pct_change%20min%20max&LS_data_adapter=STOCKS&LS_snapshot=true&LS_subId=2&LS_op=add&LS_reqId=3&LS_session=S98c5eaa3b048ca32Mef1T5500424& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,912|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving multiple request: control -> {2 subrequests} on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,912|INFO |L.requests         |SERVER POOLED THREAD 9     |Subrequest 1: LS_mode=MERGE&LS_group=P_driver_1&LS_schema=TIME%20Speed%20Rpm%20Gear_output%20Distance&LS_data_adapter=TELEMETRY&LS_snapshot=true&LS_subId=3&LS_op=add&LS_reqId=5& LS_session:S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,912|INFO |L.requests         |SERVER POOLED THREAD 9     |Subrequest 2: LS_mode=DISTINCT&LS_group=chat_room&LS_schema=timestamp%20message%20IP%20nick&LS_data_adapter=CHAT&LS_snapshot=30&LS_subId=4&LS_op=add&LS_reqId=7& LS_session:S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
23-May-21 20:55:00,918|INFO |L.requests.messages|SERVER POOLED THREAD 10    |Serving request: msg -> LS_unq=80&LS_reqId=9&LS_sequence=Nick&LS_max_wait=3000&LS_msg_prog=1&LS_message=n|Guest893 LS_session:S98c5eaa3b048ca32Mef1T5500424 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58429
